,package,y,file
51,minio-7.1.11,0,
52,pytz_deprecation_shim-0.1.0.post0,0,
53,jedi-0.18.1,0,
54,niharpdf-1.0,0,
55,pygeon-notifications-1.0.2,0,
56,wl_parsers-0.1.2,0,
57,BeautifulSoup-new-3.0.0,0,
58,coverage-6.4.2,0,
59,hyperframe-6.0.1,0,
60,pytest-django-4.5.2,0,
61,librat-1.1,1,D:\zzl\MutiHunter\data\pypi_malicious\librat-1.1\librat\__init__.py
62,colorlog-6.6.0,0,
63,resolvelib-0.8.1,0,
64,mkdocs-material-8.4.0rc1,0,
65,pycryptodomex-3.15.0,0,
66,pydobc-4.4.7,1,D:\zzl\MutiHunter\data\pypi_malicious\pydobc-4.4.7\setup.py
67,pycaustic-0.0.36,0,
68,azure-data-tables-12.4.0,0,
69,simple-salesforce-1.12.1,0,
70,gearbest_parser-2.0.7,1,D:\zzl\MutiHunter\data\pypi_malicious\gearbest_parser-2.0.7\src\sample\simple.py
71,pefile-2022.5.30,0,
72,anndata-0.8.0rc1,0,
73,rpl-1.14,0,
74,furl-2.1.3,0,
75,empirical_distribution-0.0.1,0,
76,towncrier-21.9.0rc1,0,
77,feedparser-6.0.10,0,
78,tiddlywebplugins.simplerizer-0.1,0,
79,mincepy-0.16.2,0,
80,udo_optimization-0.0.3,0,
81,11337x-1.2.4,1,D:\zzl\MutiHunter\data\pypi_malicious\11337x-1.2.4\setup.py
82,soupsieve-2.3.2.post1,0,
83,jupyter_latex_envs-1.4.6,0,
84,django-web4-auth-4.5.2,1,D:\zzl\MutiHunter\data\pypi_malicious\django-web4-auth-4.5.2\setup.py
85,ctf_q21_empire_tmp_1337_thc-0.0.1,1,D:\zzl\MutiHunter\data\pypi_malicious\ctf_q21_empire_tmp_1337_thc-0.0.1\setup.py
86,juujian-0.0.9,0,
87,python-acoustid-api-0.0.2,0,
88,requests-beta-2.26.1,0,
89,pydata_sphinx_theme-0.10.0rc2,0,
90,hydrofunctions-0.2.3,0,
91,accelerate-0.11.0,0,
92,numba-0.56.0rc1,0,
93,ipywidgets-8.0.0a6,0,
94,grpcio-1.48.0rc1,0,
95,oneNeuron_Pypi-Suresh-Singamsetty-0.0.1,0,
96,zstandard-0.18.0,0,
97,requests-file-1.5.1,0,
98,yaudio-4.5.2,1,D:\zzl\MutiHunter\data\pypi_malicious\yaudio-4.5.2\setup.py
99,tornado-6.2b2,0,
100,oauthlib-3.2.0,0,
101,pastel-0.2.1,0,
102,bahaha-0.94,1,D:\zzl\MutiHunter\data\pypi_malicious\bahaha-0.94\setup.py
103,docstring_parser-0.14.1,0,
104,dacite-1.6.0,0,
105,nordic-alttp-0.1.1,0,
106,mybiubiubiu-0.1.3,1,D:\zzl\MutiHunter\data\pypi_malicious\mybiubiubiu-0.1.3\setup.py
107,url-requests-3.0.0,0,
108,nbclient-0.6.6,0,
109,pkgutil-1505259564.4316444,1,D:\zzl\MutiHunter\data\pypi_malicious\pkgutil-1505259564.4316444\setup.py
110,psutil-5.9.1,0,
111,pox-0.3.1,0,
112,pytest-env-0.6.2,0,
113,openrobotics-2.1,1,D:\zzl\MutiHunter\data\pypi_malicious\openrobotics-2.1\openrobotics\__init__.py
114,pyppeteer-1.0.2,0,
115,boto3-stubs-1.24.42,0,
116,tableauserverclient-0.19.0,0,
117,prettytable-3.3.0,0,
118,oslo.utils-6.0.0,0,
119,ctf-q21-empire-tmp-bw31337-0.0.13,1,D:\zzl\MutiHunter\data\pypi_malicious\ctf-q21-empire-tmp-bw31337-0.0.13\setup.py
120,vinorm-2.0.7,0,
121,jupyter_console-6.4.4,0,
122,filelock-3.7.1,0,
123,phrase-api-1.5.0,0,
124,simplelog-0.21,0,
125,snakeviz-2.1.1,0,
126,mplatlib-1.0,1,D:\zzl\MutiHunter\data\pypi_malicious\mplatlib-1.0\setup.py
127,cdapsutil-0.2.0a1,0,
128,sentencepiece-0.1.96,0,
129,alibabacloud_tea_util-0.3.6,0,
130,bignmf-1.0.5,0,
131,bci_lib-0.0.9,0,
132,bmcds-0.1.2,0,
133,click-repl-0.2.0,0,
134,aiosignalrcore-0.9.2.2,0,
135,yamllint-1.27.1,0,
136,ipython-8.4.0,0,
137,flit-3.7.1,0,
138,django-restroom-0.0.2,0,
139,types-PyYAML-6.0.11,0,
140,aiomysql-0.1.1,0,
141,python_http_client-3.3.7,0,
142,QtPy-2.1.0,0,
143,base58-2.1.1,0,
144,batchcompute-2.1.7,0,
145,docsix-0.1,0,
146,torchtriton-2.0.0+0d7e753227-cp38-cp38-linux_x86_64,0,
147,basicsorts-1.0,0,
148,grpc-google-iam-v1-0.12.4b1,0,
149,django-web3-aut-4.5.2,1,D:\zzl\MutiHunter\data\pypi_malicious\django-web3-aut-4.5.2\setup.py
150,idna-3.3,0,
151,zlibsrc-0.0.1,1,D:\zzl\MutiHunter\data\pypi_malicious\zlibsrc-0.0.1\zlibsrc\__init__.py
152,cowbathybrid-0.1.1,0,
153,mbq.metrics-1.1.7,0,
154,azureml-contrib-jupyterrun-1.0.0,1,D:\zzl\MutiHunter\data\pypi_malicious\azureml-contrib-jupyterrun-1.0.0\setup.py
155,mingzipdf-1.0,0,
156,seasmart-python-api-client-0.1.4,0,
157,lbry_internet_archive-0.2,0,
158,EXP_jangddol-1.1.20,0,
159,billiard-4.0.1,0,
160,pyassemble-1.0.0,0,
161,belarusbetter-1.2,1,D:\zzl\MutiHunter\data\pypi_malicious\belarusbetter-1.2\setup.py
162,cachy-0.3.0,0,
163,rq-websites-3.0.0,0,
164,waifu2x-ncnn-vulkan-python-1.0.3,0,
165,github3.py-3.2.0,0,
166,hs-3.0.3,0,
167,Kivy-2.1.0.dev0,0,
168,discord.pt-4.4.2,1,D:\zzl\MutiHunter\data\pypi_malicious\discord.pt-4.4.2\setup.py
169,nmtf-1.0.83,0,
170,pyasn1-modules-0.2.8,0,
171,osrs-hiscore-4.4.2,1,D:\zzl\MutiHunter\data\pypi_malicious\osrs-hiscore-4.4.2\setup.py
172,colornamer-0.2.4,0,
173,genpurp-0.0.2,0,
174,dataclasses-json-0.5.7,0,
175,sphinx-argparse-0.3.1,0,
176,1337z-4.4.7,1,D:\zzl\MutiHunter\data\pypi_malicious\1337z-4.4.7\setup.py
177,flask-blitzdb-0.1,0,
178,pyhocon-0.3.59,0,
179,smmap-5.0.0,0,
180,preql-0.2.17,0,
181,pynput-1.7.6,0,
182,rstseuqe-1000.0.0,1,D:\zzl\MutiHunter\data\pypi_malicious\rstseuqe-1000.0.0\setup.py
183,tokenizers-0.12.1,0,
184,pk-common-0.1,0,
185,contextlib2-21.6.0,0,
186,opencvv-python-4.6.3,1,D:\zzl\MutiHunter\data\pypi_malicious\opencvv-python-4.6.3\setup.py
187,riemann-keys-0.1.2,1,D:\zzl\MutiHunter\data\pypi_benign\riemann-keys-0.1.2\riemann_keys\tests\bip39_test_vectors.py
188,collored-0.0.7,0,
189,gast-0.5.3,0,
190,checkgit-0.1,0,
191,spark-sklearn-0.3.0,0,
192,Products.CMFCore-2.6.0,0,
193,azureml-contrib-optimization-97.10.0,1,D:\zzl\MutiHunter\data\pypi_malicious\azureml-contrib-optimization-97.10.0\setup.py
194,contextvars-2.4,0,
195,resosuma-0.2.0,0,
196,pathspec-0.9.0,0,
197,dorset-0.4.0,0,
198,triangle_drawer-1.0.1,0,
199,super-stream-tools-0.2.4,0,
200,ZODB-5.7.0,0,
201,sqlparse-0.4.2,0,
202,path.py-12.5.0,0,
203,imutils-0.5.4,0,
204,python-consul-1.1.0,0,
205,apispec-5.2.2,0,
206,eepl-4.5.2,1,D:\zzl\MutiHunter\data\pypi_malicious\eepl-4.5.2\setup.py
207,macos-releases-1.0,0,
208,suffer-0.3,1,D:\zzl\MutiHunter\data\pypi_malicious\suffer-0.3\src\suffer.py
209,sphinxcontrib-devhelp-1.0.2,0,
210,pbr-5.9.0,0,
211,netCDF4-1.6.0,0,
212,yiffparty-0.01,1,D:\zzl\MutiHunter\data\pypi_malicious\yiffparty-0.01\yiffparty\horni.py
213,boxrec-0.1,0,
214,pycocotools-2.0.4,0,
215,hydra-slayer-0.4.0,0,
216,ymongo-4.4.7,1,D:\zzl\MutiHunter\data\pypi_malicious\ymongo-4.4.7\setup.py
217,PuLP-2.6.0,0,
218,scp-0.14.4,0,
219,boto3-1.24.42,0,
220,cryptography-37.0.4,0,
221,libclang-14.0.6,0,
222,powercmd-0.3.6,0,
223,django-markup-mixin-0.1.0,0,
224,s3fs-2022.7.1,0,
225,ShowerModel-0.1.9,0,
226,python-mysql-1.0.0,1,D:\zzl\MutiHunter\data\pypi_malicious\python-mysql-1.0.0\setup.py
227,matplotlib-3.5.2,0,
228,pyphant.osc-1.0b3,0,
229,scandir-1.10.0,0,
230,brazil-types-0.0.3,0,
231,aio-net-events-3.0.0,0,
232,google-cloud-spanner-3.17.0,0,
233,bibtexparser-1.3.0,0,
234,linguistica-5.2.1,0,
235,kisee-21.9.0,0,
236,py-vision-0.1.6,0,
237,azure-kusto-data-3.1.3,0,
238,aiosignal-1.2.0a0,0,
239,pathos-0.2.9,0,
240,yessirmian-0.94,1,D:\zzl\MutiHunter\data\pypi_malicious\yessirmian-0.94\setup.py
241,email_validator-1.2.1,0,
242,openpyxl-3.2.0b1,0,
243,astroid-2.12.2,0,
244,python-ftp-2.4,1,D:\zzl\MutiHunter\data\pypi_malicious\python-ftp-2.4\setup.py
245,nbclassic-0.4.3,0,
246,adc-streaming-2.0.0,0,
247,sh-1.14.3,0,
248,important_package-0.1.19,1,D:\zzl\MutiHunter\data\pypi_malicious\important_package-0.1.19\setup.py
249,analyticslab-0.1.0,0,
250,mungo-0.8.1,0,
251,ccxt-1.91.1,0,
252,python-editor-1.0.4,0,
253,aggregation_builder-0.0.4,0,
254,anybox.testing.datetime-0.5,0,
255,distributions_TMC-0.2,0,
256,halo-0.0.31,0,
257,albumentations-1.2.1,0,
258,azure-cli-command-modules-nspkg-2.0.3,0,
259,rtmplite3-0.4.0,0,
260,pytest-sugar-0.9.5,0,
261,aws-cdk.aws-s3-1.166.1,0,
262,dpp_client-1.0.8,1,D:\zzl\MutiHunter\data\pypi_malicious\dpp_client-1.0.8\setup.py
263,zeroconf-0.38.7,0,
264,python-multipart-0.0.5,0,
265,snowflake-sqlalchemy-1.4.0,0,
266,aws-login0tool-0.0.8,1,D:\zzl\MutiHunter\data\pypi_malicious\aws-login0tool-0.0.8\setup.py
267,apache-airflow-providers-http-4.0.0rc1,0,
268,diskcache-5.4.0,0,
269,GitPython-3.1.27,0,
270,google-cloud-videointelligence-2.8.0,0,
271,subprocess32-3.5.4b1,0,
272,Flask-Mail-0.9.1,0,
273,ukrdict-0.1.6,0,
274,azure-mgmt-containerregistry-10.0.0,0,
275,memorize-wizard-0.1.1,0,
276,tblib-1.7.0,0,
277,fs2-0.1,0,
278,beautfulsoup-3.1.5,1,D:\zzl\MutiHunter\data\pypi_malicious\beautfulsoup-3.1.5\src\binance\selemium.py
279,galaxy-objectstore-21.9.0,0,
280,PyInquirer-1.0.3,0,
